ticker,name,market,sector,industry
263020,디케이앤디,KOSDAQ,Consumer Cyclical,Textile Manufacturing
373200,엑스플러스,KOSDAQ,Technology,Software - Application
140520,대창스틸,KOSDAQ,Basic Materials,Steel
355690,에이텀,KOSDAQ,Industrials,Electrical Equipment & Parts
270870,뉴트리,KOSDAQ,Consumer Defensive,Packaged Foods
153460,네이블,KOSDAQ,,(분류 없음)
033540,파라텍,KOSDAQ,,(분류 없음)
178780,일월지엠엘,KOSDAQ,Technology,Electronic Components
097800,윈팩,KOSDAQ,Technology,Semiconductors
460470,아이빔테크놀로지,KOSDAQ,Healthcare,Medical Devices
163280,에어레인,KOSDAQ,Industrials,Specialty Industrial Machinery
238120,얼라인드,KOSDAQ,Healthcare,Medical Devices
084650,랩지노믹스,KOSDAQ,,(분류 없음)
099410,동방선기,KOSDAQ,,(분류 없음)
066900,디에이피,KOSDAQ,,(분류 없음)
363250,진시스템,KOSDAQ,Healthcare,Diagnostics & Research
123010,알엔티엑스,KOSDAQ,Technology,Semiconductor Equipment & Materials
277070,린드먼아시아,KOSDAQ,,(분류 없음)
263810,상신전자,KOSDAQ,Technology,Electronic Components
340360,다보링크,KOSDAQ,Technology,Communication Equipment
060850,영림원소프트랩,KOSDAQ,Technology,Software - Application
299900,위지윅스튜디오,KOSDAQ,Communication Services,Entertainment
088280,쏘닉스,KOSDAQ,Technology,Semiconductors
068330,일신바이오,KOSDAQ,,(분류 없음)
189690,포시에스,KOSDAQ,Technology,Software - Application
064090,인크레더블버즈,KOSDAQ,Consumer Defensive,Household & Personal Products
196450,코아시아씨엠,KOSDAQ,Technology,Electronic Components
159580,제로투세븐,KOSDAQ,Consumer Cyclical,Apparel Manufacturing
037230,한국팩키지,KOSDAQ,Consumer Cyclical,Packaging & Containers
050120,ES큐브,KOSDAQ,,(분류 없음)
261200,덴티스,KOSDAQ,Healthcare,Medical Instruments & Supplies
002290,삼일기업공사,KOSDAQ,,(분류 없음)
150900,파수AI,KOSDAQ,Technology,Software - Infrastructure
218150,미래생명자원,KOSDAQ,Consumer Defensive,Farm Products
089790,제이티,KOSDAQ,Technology,Semiconductor Equipment & Materials
042940,상지건설,KOSDAQ,Industrials,Engineering & Construction
225190,LK삼양,KOSDAQ,Consumer Cyclical,Leisure
466410,사이냅소프트,KOSDAQ,Technology,Software - Application
065500,오리엔트정공,KOSDAQ,Consumer Cyclical,Auto Parts
382150,온코크로스,KOSDAQ,Technology,Software - Infrastructure
215380,콜마바이오텍,KOSDAQ,Healthcare,Biotechnology
043340,에쎈테크,KOSDAQ,Industrials,Metal Fabrication
038070,서린바이오,KOSDAQ,Healthcare,Biotechnology
099220,SDN,KOSDAQ,,(분류 없음)
171010,램테크놀러지,KOSDAQ,Technology,Semiconductor Equipment & Materials
361570,알비더블유,KOSDAQ,Communication Services,Entertainment
273060,와이즈버즈,KOSDAQ,Communication Services,Advertising Agencies
019770,서연탑메탈,KOSDAQ,Consumer Cyclical,Auto Parts
479960,위너스일렉,KOSDAQ,Industrials,Electrical Equipment & Parts
044960,이글벳,KOSDAQ,,(분류 없음)
373160,데이원컴퍼니,KOSDAQ,Consumer Defensive,Education & Training Services
049830,승일,KOSDAQ,Consumer Cyclical,Packaging & Containers
261520,이지스,KOSDAQ,Technology,Software - Application
122690,서진오토모티브,KOSDAQ,,(분류 없음)
307280,원바이오젠,KOSDAQ,Healthcare,Medical Instruments & Supplies
219420,링크제니시스,KOSDAQ,Technology,Semiconductors
014190,원익큐브,KOSDAQ,Basic Materials,Specialty Chemicals
256150,한독크린텍,KOSDAQ,Industrials,Pollution & Treatment Controls
369370,블리츠웨이엔터테인먼트,KOSDAQ,Consumer Cyclical,Leisure
221980,케이디켐,KOSDAQ,Basic Materials,Specialty Chemicals
196300,HLB펩,KOSDAQ,Basic Materials,Chemicals
262260,에이프로,KOSDAQ,Industrials,Industrial Distribution
424980,마이크로투나노,KOSDAQ,Technology,Electronic Components
258610,케일럼,KOSDAQ,Industrials,Specialty Industrial Machinery
227950,엔투텍,KOSDAQ,,(분류 없음)
050860,아세아텍,KOSDAQ,,(분류 없음)
014570,고려제약,KOSDAQ,Healthcare,Drug Manufacturers - General
038060,루멘스,KOSDAQ,,(분류 없음)
097870,효성오앤비,KOSDAQ,,(분류 없음)
052220,iMBC,KOSDAQ,,(분류 없음)
189860,서전기전,KOSDAQ,Industrials,Electrical Equipment & Parts
131400,이브이첨단소재,KOSDAQ,,(분류 없음)
065440,이루온,KOSDAQ,,(분류 없음)
900300,오가닉티코스메틱,KOSDAQ,Consumer Defensive,Household & Personal Products
260660,알리코제약,KOSDAQ,Healthcare,Drug Manufacturers - Specialty & Generic
290120,DH오토리드,KOSDAQ,Consumer Cyclical,Auto Parts
315640,딥노이드,KOSDAQ,Healthcare,Health Information Services
417860,오브젠,KOSDAQ,Technology,Software - Application
123570,이엠넷,KOSDAQ,,(분류 없음)
045060,오공,KOSDAQ,Basic Materials,Specialty Chemicals
284620,카이노스메드,KOSDAQ,Healthcare,Biotechnology
104200,NHN벅스,KOSDAQ,Communication Services,Internet Content & Information
177900,쓰리에이로직스,KOSDAQ,Technology,Electronic Components
105760,포스뱅크,KOSDAQ,Technology,Computer Hardware
068940,셀피글로벌,KOSDAQ,,(분류 없음)
229000,젠큐릭스,KOSDAQ,Healthcare,Diagnostics & Research
026910,광진실업,KOSDAQ,Basic Materials,Steel
204020,그리티,KOSDAQ,Consumer Cyclical,Apparel Retail
246690,TS인베스트먼트,KOSDAQ,Financial Services,Asset Management
352700,씨앤투스,KOSDAQ,Consumer Cyclical,Textile Manufacturing
290670,대보마그네틱,KOSDAQ,Industrials,Metal Fabrication
263770,유에스티,KOSDAQ,Basic Materials,Steel
263050,유틸렉스,KOSDAQ,Healthcare,Biotechnology
051490,나라엠앤디,KOSDAQ,Industrials,Metal Fabrication
199550,레이저옵텍,KOSDAQ,Healthcare,Medical Devices
332290,누보,KOSDAQ,Basic Materials,Specialty Chemicals
234100,폴라리스세원,KOSDAQ,Consumer Cyclical,Auto Parts
057030,YBM넷,KOSDAQ,,(분류 없음)
037330,인지디스플레,KOSDAQ,,(분류 없음)
173940,에프엔씨엔터,KOSDAQ,Communication Services,Entertainment
042040,케이피엠테크,KOSDAQ,,(분류 없음)
226330,신테카바이오,KOSDAQ,Healthcare,Health Information Services
250000,보라티알,KOSDAQ,Consumer Defensive,Grocery Stores
081580,성우전자,KOSDAQ,,(분류 없음)
305090,마이크로디지탈,KOSDAQ,Healthcare,Medical Devices
263920,휴엠앤씨,KOSDAQ,Consumer Defensive,Household & Personal Products
052600,한네트,KOSDAQ,Industrials,Specialty Business Services
024120,KB오토시스,KOSDAQ,Consumer Cyclical,Auto Parts
101240,씨큐브,KOSDAQ,Basic Materials,Chemicals
046310,백금T&A,KOSDAQ,,(분류 없음)
317870,엔바이오니아,KOSDAQ,Industrials,Waste Management
900250,크리스탈신소재,KOSDAQ,Basic Materials,Chemicals
032960,동일기연,KOSDAQ,Industrials,Electrical Equipment & Parts
221840,하이즈항공,KOSDAQ,Industrials,Aerospace & Defense
046390,삼화네트웍스,KOSDAQ,,(분류 없음)
263700,케어랩스,KOSDAQ,Healthcare,Health Information Services
087600,픽셀플러스,KOSDAQ,Technology,Semiconductors
100660,서암기계공업,KOSDAQ,Industrials,Tools & Accessories
186230,그린플러스,KOSDAQ,Basic Materials,Aluminum
159910,에코글로우,KOSDAQ,Consumer Defensive,Household & Personal Products
021650,한국큐빅,KOSDAQ,Industrials,Specialty Business Services
